id,nombre,promedio,estado
60,Julia Ramos Bravo,1.1,Suspenso
61,Andrea Carrasco Esteban,6.42,Aprobado
62,Javier Cruz Campos,8.4,Aprobado
63,Noemí Palacios Cruz,7.47,Aprobado
64,Óliver Téllez Segura,4.13,Suspenso
65,Elisa Mora Campos,3.5,Suspenso
66,Joaquín Torres Cuadrado,6.32,Aprobado
67,Mateo Olivares Téllez,7.6,Aprobado
68,Ernesto Pacheco Carrillo,3.33,Suspenso
69,Luis Del Valle Cuadrado,3.88,Suspenso
70,Guillermo Palma Blanco,3.5,Suspenso
71,Alejandro Suárez Campos,4.8,Suspenso
72,Hugo Valverde Vallejo,4.55,Suspenso
73,Nerea Blanco Aranda,4.67,Suspenso
74,Felipe Villalba Arias,3.12,Suspenso
75,Clara Vallejo Montoya,5.5,Aprobado
76,Mario Pardo Castaño,3.4,Suspenso
77,Hugo Figueroa Quintero,7.28,Aprobado
78,Joaquín Iglesias Gómez,5.76,Aprobado
79,Noelia Sierra Vicente,3.76,Suspenso
80,Mónica Campos Correa,3.96,Suspenso
81,Diego Cuadrado Campos,6.1,Aprobado
82,Eva Zamora Garrido,5.45,Aprobado
83,Samuel Téllez Cordero,4.67,Suspenso
84,Kevin Mora Herrero,5.17,Aprobado
85,Manuel Pizarro Iglesias,5.27,Aprobado
86,Lucas Navarro Zamora,4.58,Suspenso
87,Samuel Ramos Estévez,7.82,Aprobado
88,Santiago Gil Cordero,1.52,Suspenso
89,Mario Cuadrado Luna,5.08,Aprobado
90,Andrea Torres Pastor,4.76,Suspenso
91,Laura Bueno Rico,8.67,Aprobado
92,Ágata Campos León,4.65,Suspenso
93,Héctor Vicente Torres,2.4,Suspenso
94,Álvaro Estévez Soler,3.33,Suspenso
95,Celeste Pastor Vicente,5.46,Aprobado
96,Marcos Prado Álvarez,4.22,Suspenso
97,Laura Caballero Villalba,4.87,Suspenso
98,Noelia Conde Campos,4.68,Suspenso
99,Sara Marín Navarro,6.22,Aprobado
100,Rosa Lara Sánchez,6.38,Aprobado
101,Celeste Román Castaño,5.62,Aprobado
102,Tomás Marín Pascual,7.42,Aprobado
103,Victoria Ortiz Cano,6.2,Aprobado
104,Tomás León Alcaraz,6.4,Aprobado
105,Laura Aguilar Castaño,3.03,Suspenso
106,Fernando Gil Ramos,6.17,Aprobado
107,Gabriela Esteban Del Valle,6.8,Aprobado
108,Alberto Téllez Calderón,6.9,Aprobado
109,Blanca Palacios Calvo,4.42,Suspenso
110,Guillermo Campos Álvarez,7.47,Aprobado
111,Victoria Vicente Calderón,3.45,Suspenso
112,Álex Quintero Cordero,5.45,Aprobado
113,Camila Cruz Flores,5.34,Aprobado
114,Eva Alonso Arias,5.9,Aprobado
115,Benjamín Marín Del Valle,5.67,Aprobado
116,Nerea Pizarro Cordero,4.9,Suspenso
117,Óliver Arroyo Pinto,5.0,Aprobado
118,Victoria Vallejo Campos,6.08,Aprobado
119,Joaquín Quintero Pardo,5.0,Aprobado
120,Luis Garrido Santos,7.47,Aprobado
121,Ignacio Herrero Aranda,3.43,Suspenso
122,Gema Lara Vicente,7.57,Aprobado
123,Rocío Figueroa Vela,6.45,Aprobado
124,Alba Herrera Vallejo,2.68,Suspenso
125,Manuel Serrano Ramírez,4.98,Suspenso
126,Rita Campos Ramos,5.23,Aprobado
127,Samuel Peña Domínguez,4.8,Suspenso
128,Guillermo Montoya Gallardo,7.8,Aprobado
129,Carmen Gutiérrez Pozo,7.5,Aprobado
130,Andrés Cordero Reina,4.12,Suspenso
131,Tomás Peralta Ortiz,3.87,Suspenso
132,Nuria Alemán Pérez,5.28,Aprobado
133,Luis Garrido Vallejo,5.48,Aprobado
134,Irene Montes Lozano,5.57,Aprobado
135,Teresa Caballero Sierra,5.1,Aprobado
136,Pablo Ramírez Santos,4.67,Suspenso
137,Lucía Díaz Medina,5.58,Aprobado
138,Victoria Alonso Sánchez,4.9,Suspenso
139,Raquel Del Valle Cano,4.88,Suspenso
140,Teresa Herrero Hernández,5.85,Aprobado
141,Guillermo Vega Morales,7.25,Aprobado
142,Ángel Flores Ramírez,6.8,Aprobado
143,Ricardo Blanco Caballero,2.9,Suspenso
144,Natalia Navalón Mesa,3.67,Suspenso
145,Mario Pascual Rivas,5.9,Aprobado
146,Eva Ferrer Sierra,4.78,Suspenso
147,Benjamín Calvo Benítez,2.9,Suspenso
148,Sofía Quintero Valverde,3.72,Suspenso
149,Lucía Cruz Rubio,5.05,Aprobado
150,Gema Peña Blanco,5.74,Aprobado
151,Kevin Arias Segura,4.03,Suspenso
152,Guillermo Sánchez Pastor,5.45,Aprobado
153,Rita Estévez Gómez,4.2,Suspenso
154,Víctor Bravo Arias,3.47,Suspenso
155,Lidia Zamora Domínguez,4.5,Suspenso
156,Judit Arias Santos,7.5,Aprobado
157,Valeria Prado Valdés,6.98,Aprobado
158,Irene Osorio Moreno,6.02,Aprobado
159,Fabio Benítez Hernández,3.33,Suspenso
160,Claudio Calderón Moreno,4.7,Suspenso
161,Mario Navalón Pastor,4.58,Suspenso
162,Ismael Domínguez Bermúdez,6.33,Aprobado
163,Lucas Caballero Aranda,2.4,Suspenso
164,Carmen Reyes Delgado,4.45,Suspenso
165,Pilar Cruz Romero,5.27,Aprobado
166,Rosa Gallardo Marín,5.33,Aprobado
167,Tomás Rivas Lara,5.0,Aprobado
168,Julia Santos Rosales,3.7,Suspenso
169,Esther Del Valle Vega,6.28,Aprobado
170,Santiago Vega Garrido,3.4,Suspenso
171,Judit Alemán Hernández,5.1,Aprobado
172,Kevin Ortiz Luna,3.97,Suspenso
173,Emilio Peralta Pascual,2.62,Suspenso
174,Celeste Villalba Domínguez,4.73,Suspenso
175,Sergio Garrido Torres,5.45,Aprobado
176,Tomás Calderón Medina,5.26,Aprobado
177,Eva Ramos Sierra,6.43,Aprobado
178,Francisco Torres Zamora,5.07,Aprobado
179,Joaquín Santos Gallardo,3.62,Suspenso
180,Laura Ramírez Durán,4.65,Suspenso
181,Esther López López,4.0,Suspenso
182,Olga Carrillo Jiménez,4.84,Suspenso
183,Lucas Carrillo Rey,3.54,Suspenso
184,Luis Pascual Álvarez,7.33,Aprobado
185,Samuel Vallejo Valdés,4.72,Suspenso
186,Diego Cordero Alonso,7.37,Aprobado
187,Enrique Gómez Suárez,5.53,Aprobado
188,Alberto Carrasco Palma,5.6,Aprobado
189,Santiago Méndez Pinto,3.52,Suspenso
190,Mario Cordero Caballero,3.8,Suspenso
191,Raúl Bravo Correa,5.02,Aprobado
192,Patricia Palacios Alonso,4.42,Suspenso
193,Raquel Palacios Valdés,4.72,Suspenso
194,Marcos Cebrián Jiménez,4.77,Suspenso
195,Luis Ruiz Castaño,5.32,Aprobado
196,Yolanda Mora López,5.68,Aprobado
197,Esther Ortiz Navalón,7.5,Aprobado
198,Candela Flores Iglesias,4.87,Suspenso
199,Rubén Estévez Bravo,5.58,Aprobado
200,Lucía Morales Aranda,2.12,Suspenso
201,Marta Hernández Correa,3.52,Suspenso
202,Rafael Pacheco Gil,4.4,Suspenso
203,Ernesto Mora Palacios,6.78,Aprobado
204,Irene Osorio Quintero,4.8,Suspenso
205,Álvaro Pacheco Blanco,3.82,Suspenso
206,Paula Pastor Aranda,7.45,Aprobado
207,Marta Aranda Pérez,4.57,Suspenso
208,Valeria Nieto Gallardo,7.42,Aprobado
209,Héctor Castaño Soler,3.9,Suspenso
210,Joaquín Quintero Salas,4.98,Suspenso
211,Ágata Pizarro Del Valle,2.73,Suspenso
212,Tomás Ramírez Montoya,3.63,Suspenso
213,Fabio Segura Pérez de León,5.15,Aprobado
214,Ernesto Arroyo Correa,3.92,Suspenso
215,Tomás Pastor Vicente,5.32,Aprobado
216,Ágata Gómez Soler,3.93,Suspenso
217,Adela Pascual Marín,4.33,Suspenso
218,Óscar Calderón Cano,2.4,Suspenso
219,María Alcaraz Palma,4.18,Suspenso
220,David Mora Navalón,6.33,Aprobado
221,Sergio Jiménez Ruiz,3.07,Suspenso
222,Santiago Pacheco Aranda,4.42,Suspenso
223,Felipe Cano Pizarro,4.72,Suspenso
224,Nerea Herrera Aguilar,5.22,Aprobado
225,Eva Prado Calderón,3.12,Suspenso
226,Francisco Lozano Rubio,4.97,Suspenso
227,Valeria Suárez Vela,5.97,Aprobado
228,Claudio Lara Durán,3.78,Suspenso
229,Iván Espinosa Peralta,6.32,Aprobado
230,Alicia Gómez López,6.64,Aprobado
231,Olga Benítez Cordero,6.57,Aprobado
232,Juan Hernández Moreno,6.84,Aprobado
233,Daniel Calvo Pardo,2.8,Suspenso
234,Rebeca Gutiérrez Benítez,4.9,Suspenso
235,Guillermo Morales Romero,2.67,Suspenso
236,Pablo Salas Castaño,4.22,Suspenso
237,Nicolás Marín Villalba,6.67,Aprobado
238,Felipe Montes Nieto,4.1,Suspenso
239,Santiago Valverde Esteban,3.15,Suspenso
240,Javier Cordero Prado,2.75,Suspenso
241,Mateo Herrero Gallardo,4.23,Suspenso
242,Tomás Vallejo Pastor,4.14,Suspenso
243,Raúl Villalba Arias,4.08,Suspenso
244,Laura Camacho Mora,5.4,Aprobado
245,Tomás Cordero Esteban,4.9,Suspenso
246,Lourdes Benítez Alcaraz,5.7,Aprobado
247,Mireia Villalba Delgado,3.33,Suspenso
248,Olga Calvo Ramos,5.38,Aprobado
249,Carmen Olivares Sánchez,6.7,Aprobado
250,Candela Miranda Navalón,4.4,Suspenso
251,Rebeca Figueroa Miranda,6.15,Aprobado
252,Nuria Segura Vicente,2.72,Suspenso
253,Nerea Cuadrado Carrillo,4.04,Suspenso
254,Daniel Cordero Ramos,2.4,Suspenso
255,Tomás Correa Mesa,4.64,Suspenso
256,Mario Reyes Delgado,7.6,Aprobado
257,Joaquín Moreno Palma,4.16,Suspenso
258,Rosa Soto Soler,1.6,Suspenso
259,Verónica Villar Benítez,6.4,Aprobado
260,Isabel Arroyo Cuadrado,7.5,Aprobado
261,Laura Rey Salas,3.5,Suspenso
262,Cristina Osorio Navarro,5.43,Aprobado
263,Olga Rubio Campos,4.75,Suspenso
264,César Téllez Pérez de León,4.8,Suspenso
265,Óliver Domínguez Villar,5.22,Aprobado
266,Héctor Santos Quintero,6.15,Aprobado
267,Manuel Cordero Cuadrado,4.5,Suspenso
268,Judit Lara Espinosa,4.13,Suspenso
269,Nicolás Pascual Ferrer,5.9,Aprobado
270,Mario Marín Molina,6.18,Aprobado
271,Francisco Valverde Rosales,6.03,Aprobado
272,Rubén Sánchez Martín,4.6,Suspenso
273,Elena Herrero Vallejo,5.24,Aprobado
274,Enrique Valverde Soler,5.02,Aprobado
275,Mateo Molina Díaz,5.1,Aprobado
276,Sergio Reyes Pascual,3.38,Suspenso
277,Mario Téllez Rubio,4.02,Suspenso
278,Nerea Carrillo Benítez,5.12,Aprobado
279,Isabel Valverde Miranda,4.78,Suspenso
280,Noelia Peña Herrero,6.35,Aprobado
281,Manuel Alcaraz Vallejo,3.08,Suspenso
282,Diego Nieto Mora,3.12,Suspenso
283,Ismael Caballero Palacios,5.07,Aprobado
284,Pablo Olivares Valdés,2.4,Suspenso
285,Yolanda Aranda Gallardo,3.08,Suspenso
286,Ricardo Aranda Ramos,6.6,Aprobado
287,Nuria Bravo Ramos,6.53,Aprobado
288,Celeste Pinto Palma,2.94,Suspenso
289,Ernesto Cuenca Mesa,2.35,Suspenso
290,Teresa Osorio Pacheco,4.66,Suspenso
291,Samuel Serrano Téllez,3.62,Suspenso
292,Isabel Carrasco Palma,4.6,Suspenso
293,Lourdes Bueno Iglesias,4.63,Suspenso
294,Isabel Del Valle Jiménez,5.95,Aprobado
295,Raquel Arroyo Palma,3.33,Suspenso
296,Lorena Morales Palacios,5.15,Aprobado
297,Fabio Cuenca Segura,5.64,Aprobado
298,Andrés Medina Peralta,5.5,Aprobado
299,Ricardo Durán Cano,5.9,Aprobado
300,Gabriela Conde Herrero,6.03,Aprobado
301,Paula Miranda Román,6.2,Aprobado
302,Silvia Ferrer Ortiz,7.22,Aprobado
303,Santiago Peña Villar,3.5,Suspenso
304,Lucía Román Esteban,4.72,Suspenso
305,Mateo Vallejo Cebrián,7.53,Aprobado
306,Tomás Aranda Herrero,4.64,Suspenso
307,Gabriela Luna Álvarez,6.56,Aprobado
308,Olga Soto Segura,6.67,Aprobado
309,Óliver Pacheco López,3.43,Suspenso
310,Carmen Téllez Olivares,4.58,Suspenso
311,Lorena Lozano Herrero,3.6,Suspenso
312,Álvaro Téllez Hernández,8.1,Aprobado
313,Pablo Arroyo Hernández,4.72,Suspenso
314,Adela López Castaño,4.65,Suspenso
315,Blanca Carrillo Lara,4.15,Suspenso
316,Isabel Segura Soto,4.34,Suspenso
317,Laura Cuadrado Palma,4.5,Suspenso
318,Pilar Herrera Reyes,4.67,Suspenso
319,Sergio Soler Esteban,5.28,Aprobado
320,Mateo Romero Luna,6.7,Aprobado
321,Tomás Nieto Vallejo,5.17,Aprobado
322,Benjamín Cebrián Fuentes,3.62,Suspenso
323,Nuria Caballero Mora,9.37,Aprobado
324,Silvia Palma Navarro,5.15,Aprobado
325,Daniel Vicente Cano,3.97,Suspenso
326,Álvaro Pozo Pizarro,2.72,Suspenso
327,Nerea Blanco Bermúdez,3.08,Suspenso
328,Mateo Osorio Prado,4.27,Suspenso
329,Claudio Cordero Vicente,3.14,Suspenso
330,Gema Aranda Pizarro,5.75,Aprobado
331,Silvia Espinosa Navalón,3.4,Suspenso
332,Eva Miranda Campos,4.87,Suspenso
333,Manuel Peña Reyes,3.17,Suspenso
334,Camila Hernández López,7.1,Aprobado
335,Gabriela Garrido Castaño,6.03,Aprobado
336,Javier Correa López,5.0,Aprobado
337,Nicolás Rey Herrero,5.67,Aprobado
338,Héctor López Téllez,3.1,Suspenso
339,Héctor Cordero Vargas,3.87,Suspenso
340,Teresa Prado Méndez,4.7,Suspenso
341,Ismael Medina Gallardo,1.95,Suspenso
342,Ismael Ramos Román,5.53,Aprobado
343,Hugo Medina Pizarro,5.53,Aprobado
344,Judit Díaz Hernández,4.12,Suspenso
345,Sara Pinto Blanco,4.78,Suspenso
346,Nicolás Torres Fuentes,7.77,Aprobado
347,David Peralta Martín,6.93,Aprobado
348,Sergio Vega Alonso,3.8,Suspenso
349,Javier Díaz Garrido,7.17,Aprobado
350,Sofía Pérez Rubio,5.1,Aprobado
351,Carmen Serrano Román,5.77,Aprobado
352,Benjamín Fuentes Sánchez,5.42,Aprobado
353,Sara Peña Vallejo,4.1,Suspenso
354,Iván Rey Ramírez,3.83,Suspenso
355,María Prado Martín,7.15,Aprobado
356,Javier Pardo Rey,3.13,Suspenso
357,Jorge Rivas Carrasco,3.62,Suspenso
358,Yolanda Cruz Cebrián,4.37,Suspenso
359,Lourdes Caballero Gallardo,3.02,Suspenso
360,Cristina Blanco Rubio,2.82,Suspenso
361,Alejandro Cordero Cordero,5.43,Aprobado
362,Eva Rosales Palma,6.48,Aprobado
363,Luis Pinto Esteban,4.9,Suspenso
364,Daniela Pacheco Palma,7.87,Aprobado
365,Javier Ferrer Alemán,6.4,Aprobado
366,Victoria Calderón Herrero,3.17,Suspenso
367,Ignacio Mora Peña,5.08,Aprobado
368,Luis Rey Ferrer,4.6,Suspenso
369,Lidia Vela Aguilar,5.83,Aprobado
370,Lucas Sánchez Alonso,4.07,Suspenso
371,Cristina Calvo Ramos,5.72,Aprobado
372,Santiago Ramos Fuentes,6.43,Aprobado
373,Benjamín Villar Benítez,8.47,Aprobado
374,Olga Torres Cebrián,4.23,Suspenso
375,Rita Nieto Cordero,4.0,Suspenso
376,Lidia Alemán Carrasco,5.15,Aprobado
377,Isabel Ramos Rosales,5.1,Aprobado
378,Paula Figueroa Miranda,7.05,Aprobado
379,Ana Herrera Arroyo,5.13,Aprobado
380,Noemí Rubio Olivares,4.27,Suspenso
381,Luis Delgado Soler,2.94,Suspenso
382,Isabel Quintero Estévez,7.52,Aprobado
383,Ignacio Ramírez Pastor,3.5,Suspenso
384,Víctor Gutiérrez Cebrián,5.77,Aprobado
385,Pablo Valdés Torres,4.33,Suspenso
386,Yolanda Delgado Rey,6.9,Aprobado
387,Elena Valdés Delgado,6.0,Aprobado
388,Rocío Caballero Villar,6.9,Aprobado
389,Isabel Sierra Gallardo,4.9,Suspenso
390,Fabio Lozano Villalba,4.68,Suspenso
391,Nicolás Mora Rey,4.27,Suspenso
392,Cristina Martín Peña,5.28,Aprobado
393,Rafael Vega Román,5.17,Aprobado
394,Kevin Cordero Santos,5.4,Aprobado
395,Mateo Gutiérrez Estévez,7.1,Aprobado
396,Sara Domínguez Román,4.85,Suspenso
397,Rebeca Garrido Bueno,4.42,Suspenso
398,Tomás Del Valle Cordero,6.14,Aprobado
399,Benjamín Miranda Mora,5.53,Aprobado
400,Lourdes Bravo Estévez,3.67,Suspenso
401,Noelia Serrano Iglesias,4.22,Suspenso
402,Andrea Conde Vicente,3.68,Suspenso
403,Samuel Camacho Cuenca,3.77,Suspenso
404,Kevin Esteban Ramírez,6.47,Aprobado
405,Lorena Molina Romero,6.43,Aprobado
406,Alejandro Herrera Reina,2.0,Suspenso
407,Beatriz Ruiz Cuadrado,4.83,Suspenso
408,Ismael Pozo Soler,4.3,Suspenso
409,Hugo Rubio Caballero,3.73,Suspenso
410,Rubén Camacho Aguilar,4.72,Suspenso
411,Natalia Herrero Zamora,3.74,Suspenso
412,Sergio Cordero Montes,7.92,Aprobado
413,Tomás Gil Flores,5.08,Aprobado
414,Alicia Gutiérrez Rey,5.18,Aprobado
415,Irene Ramírez Alcaraz,5.3,Aprobado
416,Mario Gómez Nieto,4.43,Suspenso
417,Daniela Ramos Olivares,4.4,Suspenso
418,Ernesto Gallardo Bermúdez,5.53,Aprobado
419,Eva Santos Reyes,4.05,Suspenso
420,Guillermo Cordero Herrera,5.77,Aprobado
421,Rafael Benítez Espinosa,5.18,Aprobado
422,Yolanda Arias Salas,6.9,Aprobado
423,Nerea Castaño Herrero,4.73,Suspenso
424,Yolanda Pascual Moreno,3.85,Suspenso
425,Ana Rosales Álvarez,4.35,Suspenso
426,Rafael Conde Pinto,3.15,Suspenso
427,Felipe Alonso Serrano,6.72,Aprobado
428,Alberto Vargas Gutiérrez,7.86,Aprobado
429,Gema Espinosa Cuadrado,6.7,Aprobado
430,Andrés Durán Marín,5.3,Aprobado
431,Jorge Pizarro Jiménez,4.32,Suspenso
432,Blanca Alemán Serrano,5.07,Aprobado
433,Silvia Santos Figueroa,5.02,Aprobado
434,Pablo Morales Quintero,6.94,Aprobado
435,Olga López Alcaraz,5.33,Aprobado
436,Camila Domínguez Rosales,4.97,Suspenso
437,Paula Cano Navarro,5.28,Aprobado
438,Clara Pacheco Camacho,6.27,Aprobado
439,Joaquín Martín Ramos,4.37,Suspenso
440,Sara Aranda Caballero,6.62,Aprobado
441,Emilio Vallejo Rico,6.5,Aprobado
442,Verónica Gómez Lozano,8.58,Aprobado
443,Alicia Calvo Sánchez,2.43,Suspenso
444,Lucas Ruiz Esteban,3.57,Suspenso
445,Andrés Valdés Lara,6.45,Aprobado
446,Samuel Campos Pascual,7.32,Aprobado
447,Marta Benítez Marín,5.92,Aprobado
448,Olga Ruiz Mesa,5.7,Aprobado
449,Tomás Carrillo Montoya,6.2,Aprobado
450,Pilar Durán Arias,4.97,Suspenso
451,Rita Santos Méndez,4.9,Suspenso
452,Pablo Palma Soler,4.0,Suspenso
453,Silvia Palma Rivas,6.07,Aprobado
454,Claudio Ruiz Rubio,6.73,Aprobado
455,Mario Vargas Rubio,5.27,Aprobado
456,Adrián Ramírez Prado,5.44,Aprobado
457,Diego Peña Medina,4.45,Suspenso
458,Pilar Ruiz Domínguez,3.94,Suspenso
459,Alicia Reina Palma,4.97,Suspenso
460,Nuria Pozo Rey,6.07,Aprobado
461,Claudio Miranda Luna,2.67,Suspenso
462,Yolanda Esteban Figueroa,4.78,Suspenso
463,Andrés Sierra Montes,3.83,Suspenso
464,Javier López Herrero,4.1,Suspenso
465,Francisco Pacheco Arroyo,4.37,Suspenso
466,Víctor Osorio Moreno,5.53,Aprobado
467,Isabel Correa Vargas,6.55,Aprobado
468,Eva Cordero Miranda,4.4,Suspenso
469,Ángel Zamora Sánchez,4.45,Suspenso
470,Lourdes Aranda Mesa,6.22,Aprobado
471,Nicolás Gómez Molina,6.7,Aprobado
472,Óliver Sierra Rosales,6.76,Aprobado
473,Ángel Montoya Román,6.52,Aprobado
474,Daniela Peralta Figueroa,2.92,Suspenso
475,Ángel Iglesias Hernández,4.5,Suspenso
476,Claudio Olivares Salas,7.03,Aprobado
477,Jorge Jiménez Marín,7.97,Aprobado
478,Claudio Romero Vallejo,5.47,Aprobado
479,Mónica Vela Estévez,5.48,Aprobado
480,Rubén López Ramos,4.85,Suspenso
481,Alba Zamora Ortiz,5.7,Aprobado
482,Rosa López Méndez,5.67,Aprobado
483,Teresa Vargas Pinto,4.37,Suspenso
484,Lucía Salas Castaño,6.12,Aprobado
485,Héctor Romero Peña,4.62,Suspenso
486,Héctor Vela Aranda,3.63,Suspenso
487,Claudio Mesa Valdés,7.17,Aprobado
488,Patricia Peña Caballero,6.68,Aprobado
489,Daniela Camacho Montoya,3.3,Suspenso
490,Verónica Ruiz Navalón,4.13,Suspenso
491,Rocío Reyes Herrero,2.48,Suspenso
492,Raquel Campos Suárez,4.42,Suspenso
493,Noemí Montes Cordero,1.03,Suspenso
494,Ricardo Gutiérrez Palacios,1.63,Suspenso
495,Manuel Jiménez Montes,5.58,Aprobado
496,Clara Garrido Mora,6.43,Aprobado
497,Samuel Lozano Domínguez,4.85,Suspenso
498,Adrián Delgado Conde,6.77,Aprobado
499,Rocío Herrero Peña,4.28,Suspenso
500,Victoria Pinto Lozano,8.9,Aprobado
501,Óliver Palma López,4.28,Suspenso
502,Isabel Pozo Aranda,7.83,Aprobado
503,Yolanda Campos Mesa,6.95,Aprobado
504,Ricardo Herrero Estévez,5.8,Aprobado
505,Nicolás López Benítez,7.02,Aprobado
506,Eva Calvo Pérez,5.67,Aprobado
507,Nuria Conde Campos,4.33,Suspenso
508,Daniela Camacho Aguilar,7.28,Aprobado
509,Ángel Caballero Camacho,6.07,Aprobado
510,Mónica Marín Martín,5.62,Aprobado
511,Pilar Santos Domínguez,4.5,Suspenso
512,María Figueroa Iglesias,2.75,Suspenso
513,Eva Aranda Peralta,4.37,Suspenso
514,Fabio Mesa Santos,4.38,Suspenso
515,Raquel Pinto Soto,4.75,Suspenso
516,Nicolás López López,2.98,Suspenso
517,Álex Herrero Lozano,4.28,Suspenso
518,Guillermo Lara Delgado,6.4,Aprobado
519,Javier Vega Quintero,4.47,Suspenso
520,Pilar Navalón Lozano,3.48,Suspenso
521,Cristina Santos Sánchez,5.76,Aprobado
522,Tomás Jiménez Morales,6.42,Aprobado
523,Álex Herrera Pérez de León,6.0,Aprobado
524,Enrique Villar León,4.77,Suspenso
525,Carmen Ramos Vallejo,6.17,Aprobado
526,Enrique Palma Zamora,8.55,Aprobado
527,Guillermo Gómez Téllez,3.63,Suspenso
528,Noelia Vicente Fuentes,7.03,Aprobado
529,Mario Pinto Díaz,3.3,Suspenso
530,Iván Navalón Caballero,4.08,Suspenso
531,Fabio Molina Santos,5.27,Aprobado
532,Pilar Sánchez Pascual,8.07,Aprobado
533,Héctor Bermúdez Rey,6.36,Aprobado
534,Ernesto Mesa Arias,4.8,Suspenso
535,Fernando Nieto Herrero,5.3,Aprobado
536,Rubén Téllez León,8.1,Aprobado
537,Iván Pastor Segura,3.57,Suspenso
538,Ángel Suárez Herrero,5.72,Aprobado
539,Felipe Cordero Miranda,7.33,Aprobado
540,Alberto Rubio Sierra,2.04,Suspenso
541,Teresa Palma Palacios,4.45,Suspenso
542,Tomás Lara López,6.2,Aprobado
543,Ernesto Navarro Rubio,5.76,Aprobado
544,Diego Segura Torres,5.3,Aprobado
545,Alejandro Delgado Cordero,4.32,Suspenso
546,Esther Iglesias Del Valle,5.94,Aprobado
547,Víctor Nieto Villalba,5.44,Aprobado
548,Diego Ramos Navalón,4.3,Suspenso
549,David Cordero Camacho,5.65,Aprobado
550,Julia Cordero Ferrer,3.2,Suspenso
551,Juan Medina Herrero,7.04,Aprobado
552,David Martín Moreno,5.0,Aprobado
553,Ignacio Luna Montoya,6.83,Aprobado
554,Alberto Sierra Arias,4.17,Suspenso
555,Nicolás Delgado Arroyo,5.3,Aprobado
556,Daniel Ramos Reyes,5.1,Aprobado
557,Enrique Suárez Serrano,6.83,Aprobado
558,Andrés Pardo Pérez de León,8.03,Aprobado
559,Ernesto Reyes Mora,5.45,Aprobado
560,Raquel Santos Gil,3.62,Suspenso
561,Mateo Pérez de León Suárez,5.95,Aprobado
562,Ágata Gómez Santos,4.2,Suspenso
563,Rocío Delgado Cordero,7.05,Aprobado
564,Claudio Alemán Romero,3.22,Suspenso
565,Lorena Iglesias Cebrián,6.27,Aprobado
566,Clara León Reina,6.1,Aprobado
